# PicoSwitch Bridge input-report goldens: normalized state -> wire bytes.
#
# Generated from dev.picoswitch.bridge.protocol.ControllerReportEncoder and read by
# BOTH encoders (Kotlin BridgeReportGoldenTest, C# BridgeReportGoldenTests). The
# descriptor parity guard proves the two ends describe the same report; this proves
# they FILL it identically, which no descriptor comparison can show.
#
# buttons  '-' or '|'-separated ControllerButton names
# dpad     '-' or any of U R D L
# motion   '-' (no sample) or [!]gx:gy:gz:ax:ay:az:ticks   ('!' = valid flag clear)
# battery  '-' (no reading) or [!]percent:charging          ('!' = valid flag clear)
# v1/v2    uppercase hex of the 9- and 26-byte payloads (no report id)
#
# name,leftX,leftY,rightX,rightY,leftTrigger,rightTrigger,buttons,dpad,motion,battery,v1,v2
hat-all-four,128,128,128,128,0,0,-,URDL,-,-,808080800000000008,8080808000000000000800000000000000000000000000000000
hat-up-with-horizontal-cancel,128,128,128,128,0,0,-,ULR,-,-,808080800000000000,8080808000000000000000000000000000000000000000000000
motion-valid,128,128,128,128,0,0,-,-,100:-200:300:-400:500:-600:1234,-,808080800000000008,80808080000000000008640038FF2C0170FEF401A8FD0002D204
motion-extremes,128,128,128,128,0,0,-,-,32767:-32768:32767:-32768:0:1:65535,-,808080800000000008,80808080000000000008FF7F0080FF7F0080000001000002FFFF
motion-timestamp-wraps,128,128,128,128,0,0,-,-,1:2:3:4:5:6:131071,-,808080800000000008,808080800000000000080100020003000400050006000002FFFF
motion-present-but-invalid,128,128,128,128,0,0,-,-,!100:-200:300:-400:500:-600:1234,-,808080800000000008,8080808000000000000800000000000000000000000000000000
battery-valid,128,128,128,128,0,0,-,-,-,75:0,808080800000000008,808080800000000000080000000000000000000000004B040000
battery-charging,128,128,128,128,0,0,-,-,-,42:1,808080800000000008,808080800000000000080000000000000000000000002A050000
battery-clamped-high,128,128,128,128,0,0,-,-,-,150:1,808080800000000008,8080808000000000000800000000000000000000000064050000
battery-clamped-low,128,128,128,128,0,0,-,-,-,-20:0,808080800000000008,8080808000000000000800000000000000000000000000040000
battery-present-but-invalid,128,128,128,128,0,0,-,-,-,!75:1,808080800000000008,808080800000000000080000000000000000000000004B000000
full-frame,10,200,90,33,128,7,A|L2|Home|GR,UR,1:-1:2:-2:3:-3:9999,88:1,0AC85A218007411001,0AC85A218007411001010100FFFF0200FEFF0300FDFF58070F27
